Locationabbr,median_age_male,Data_value
AL,37.1,24.6
AK,33.3,25.7
AZ,35.8,26.5
AR,36.4,25.2
CA,34.9,22.8
CO,35.5,26.5
CT,38.8,27.7
DE,38.0,24.6
DC,33.6,19.1
FL,40.1,27.8
GA,34.9,22.4
HI,36.9,25.9
ID,34.9,23.9
IL,36.1,24.0
IN,36.1,24.1
IA,36.7,25.7
KS,35.0,23.6
KY,37.2,25.5
LA,35.0,22.2
ME,42.8,32.0
MD,36.7,22.6
MA,37.8,26.8
MI,38.1,26.7
MN,36.7,26.7
MS,35.2,21.9
MO,36.8,24.4
MT,38.7,27.2
NE,35.1,24.7
NV,36.8,24.0
NH,41.3,30.1
NJ,37.9,24.3
NM,35.7,25.5
NY,36.6,23.6
NC,36.8,24.4
ND,34.1,24.1
OH,37.8,25.0
OK,35.0,26.0
OR,38.0,27.1
PA,38.9,24.8
RI,38.1,27.7
SC,37.3,25.3
SD,35.7,26.4
TN,37.2,24.0
TX,33.2,21.3
UT,29.8,16.1
VT,41.3,31.1
VA,36.5,23.2
WA,36.6,26.4
WV,40.7,26.8
WI,38.0,26.3
WY,36.0,24.6
PR,37.4,18.2
